Titulo
ABBA Gold
Aguas do Botaréu
Armindo Alves
Avé Maria
Senhora Nossa
Invocação a Deus
São Bento
Filarmonia
Tarântula
Fate of the Gods
Canções da Tradição
1989
76 Trombones
Paquito Chocolatero
Xabia
Sonhos de Portugal
Vila Franca
Tannhauser Ouverture
Holiday in Rio
Crucifixus
La Tuba Bregosa
Cidade Esposende
Gibraltar
São Martinho
Zé Pedro
Concha
Hosanna in excelsis
Jerusalen
S. João de Braga
Súplica
