Titulo
Homenagem a J. Serra
Filarmonia
Caçadores do I
Homenagem ao Dr Manuel Vaz
Homenagem a Vila Verde
12 de Abril
Tarântula
Armindo Alves
1989
Paquito Chocolatero
Xabia
Manuel Joaquim ALmeida
Aguas do Botaréu
Cidade Esposende
Filhos da Nação
Zé Pedro
S. João de Braga
A Portuguesa
